collection_name,color_name,line_name,description,material_name,design_style,features,usage_context,status,is_featured
Cát Điền,Hồng đậm,Áo dài Chu Bảo,,Tơ tằm 70%,Suông tay loe dài,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cát Điền,Đỏ,Áo dài Châu Hân – Mãn Kim,,Organza và Tơ tằm 70%,Suông tay loe dài,"Sự kết hợp giữa vẻ nhẹ, trong của Organza và độ mềm mịn, cao cấp của tơ tằm, tạo cảm giác tinh tế và sang trọng.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cát Điền,Vàng,Áo dài Cát Điệp,,Tơ tằm 70%,Suông tay loe dài,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cát Điền,Hồng,Áo dài Diệu Liên,,Tơ tằm 70%,Suông tay ôm dài,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cát Điền,Vàng,Áo dài Mãn Kim,,Tơ tằm 70%,Suông tay loe dài,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cát Điền,Hồng,Áo dài Mãn Như,,Tơ tằm 70%,Suông tay loe dài,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cát Điền,Hồng cam,Áo dài Mãn Đào,,Tơ tằm 70%,Suông tay loe dài,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cát Điền,Xanh lục,Áo dài Thư Bảo,,Tơ tằm 70%,Suông tay ôm dài,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cát Điền,Hồng phấn,Áo dài Tiêu Hồng,,Tơ tằm 70%,Suông tay loe dài,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cát Điền,Đỏ,Áo dài Tú Điệp,,Tơ tằm 70%,Suông tay loe dài,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cát Điền,Vàng,Áo dài Đan Niên,,Tơ tằm 70%,Suông tay loe dài,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Hồng tím,Áo dài Chiêu Phụng,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Đỏ,Áo dài Châu Phụng,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Vàng kem,Áo dài Hoàng Phụng,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Xanh biển,Áo dài Hồ Phụng,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Hồng,Áo dài Hữu Phương,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Hồng đậm,Áo dài Mộc Thước,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Hồng,Áo dài Nam Phụng,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Hồng phấn nhạt,Áo dài Nhu Phụng,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Xanh coban,Áo dài Thiên Thước,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Xám bạc,Áo dài Yên Phụng,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Cảnh Giang,Đỏ,Áo dài Đan Phụng,,Tơ tằm 70%,Suông tay loe dài 4 tà,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Dao Ngọc Các,Kem,Áo Choàng Nhật Bình Yên Chi,,Organza,Áo choàng Nhật Bình đuôi dài,"Chất liệu mỏng nhẹ, hơi trong, có độ phồng tự nhiên, thường tạo cảm giác thanh thoát và trang trọng.","Dùng trong lễ cưới, sự kiện trang trọng",ACTIVE,False
Dao Ngọc Các,Đỏ,Áo choàng Tràng Ngọc Khê,,Organza,Áo choàng suông đuôi dài,"Chất liệu mỏng nhẹ, hơi trong, có độ phồng tự nhiên, thường tạo cảm giác thanh thoát và trang trọng.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Dao Ngọc Các,Đỏ,Áo dài Chu Phong,,Organza và Lụa tổng hợp,Áo dài dáng suông cúc lệch,"Sự kết hợp giữa lớp Organza nhẹ, trong và lớp lụa tổng hợp mềm mại, giúp sản phẩm vừa có độ bay vừa dễ mặc.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Dao Ngọc Các,Đỏ,Áo dài Châu Phượng,,Organza,Áo dài dáng suông 4 tà cúc lệch,"Chất liệu mỏng nhẹ, hơi trong, có độ phồng tự nhiên, thường tạo cảm giác thanh thoát và trang trọng.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Dao Ngọc Các,Hồng,Áo dài Cẩm Dao – Dao Phụng,,Tencel,Áo dài ngũ thân,"Chất liệu mềm mịn, thoáng nhẹ, có độ rũ tự nhiên và mang lại cảm giác dễ chịu khi mặc.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Dao Ngọc Các,Hồng,Áo dài Dao Phụng – Liên Phụng,,Tơ tằm 70%,Áo dài ngũ thân,"Chất liệu có thành phần tơ tằm cao, mềm mịn, nhẹ và có độ bóng tự nhiên, phù hợp với sản phẩm cao cấp.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
Dao Ngọc Các,Đỏ,Áo dài Hồng Ân – Hồng Duyên,,Organza,Áo dài ngũ thân,"Chất liệu mỏng nhẹ, hơi trong, có độ phồng tự nhiên, thường tạo cảm giác thanh thoát và trang trọng.","Thiết kế đơn giản được chú trọng vào các chi tiết về họa tiết đơn giản nhưng không kém phần nổi bật, phù hợp sử dụng được cho nhiều dịp khác nhau từ hàng ngày đến trọng đại.",ACTIVE,False
