collection_name,color_name,line_name,description,material_name,design_style,features,usage_context,status,is_featured
Cát Điền,Hồng đậm,Áo dài Chu Bảo,"Lấy cảm hứng từ tinh thần Cát Điền, Áo dài Chu Bảo mang sắc hồng đậm duyên dáng, phom suông tay loe dài và nét đẹp quý phái và được chăm chút trong từng chi tiết.",Tơ tằm 70%,Suông tay loe dài,"Tơ tằm 70% có độ mềm mịn, nhẹ và ánh bóng tự nhiên, giúp trang phục lên dáng sang trọng nhưng vẫn tạo cảm giác thoải mái. Phần tay loe tạo độ mềm và giúp chuyển động của trang phục thêm uyển chuyển.","Dễ ứng dụng trong các dịp quan trọng như tiệc gia đình, lễ hội, trình diễn bộ sưu tập hoặc không gian mang tính truyền thống.",ACTIVE,false
Cát Điền,Đỏ,Áo dài Châu Hân – Mãn Kim,"Áo dài Châu Hân – Mãn Kim thuộc bộ sưu tập Cát Điền, nổi bật với sắc đỏ nổi bật cùng phom suông tay loe dài, gợi vẻ rực rỡ, sang trọng và có điểm nhấn ánh sắc.",Organza và Tơ tằm 70%,Suông tay loe dài,"Sự kết hợp giữa Organza và tơ tằm giúp thiết kế vừa có độ đứng cần thiết, vừa giữ được sự mềm mại, nhẹ nhàng khi chuyển động. Phần tay loe tạo độ mềm và giúp chuyển động của trang phục thêm uyển chuyển.","Dễ ứng dụng trong các dịp quan trọng như tiệc gia đình, lễ hội, trình diễn bộ sưu tập hoặc không gian mang tính truyền thống.",ACTIVE,false
Cát Điền,Vàng,Áo dài Cát Điệp,"Áo dài Cát Điệp là thiết kế áo dài gam vàng ấm với dáng suông tay loe dài, cân bằng giữa vẻ truyền thống và cảm giác mềm mại, thanh thoát và giàu chất thơ.",Tơ tằm 70%,Suông tay loe dài,"Tơ tằm 70% có độ mềm mịn, nhẹ và ánh bóng tự nhiên, giúp trang phục lên dáng sang trọng nhưng vẫn tạo cảm giác thoải mái. Phần tay loe tạo độ mềm và giúp chuyển động của trang phục thêm uyển chuyển.","Dễ ứng dụng trong các dịp quan trọng như tiệc gia đình, lễ hội, trình diễn bộ sưu tập hoặc không gian mang tính truyền thống.",ACTIVE,false
Cát Điền,Hồng,Áo dài Diệu Liên,"Áo dài Diệu Liên thuộc bộ sưu tập Cát Điền, nổi bật với sắc hồng dịu cùng phom suông tay ôm dài, gợi vẻ dịu dàng, trong trẻo và nữ tính.",Tơ tằm 70%,Suông tay ôm dài,"Thành phần tơ tằm cao mang lại bề mặt vải mượt, độ rũ đẹp và vẻ óng nhẹ đặc trưng của dòng sản phẩm cao cấp.","Phù hợp cho dịp lễ, Tết, chụp ảnh nghệ thuật, sự kiện văn hóa hoặc những buổi gặp gỡ cần vẻ ngoài trang trọng.",ACTIVE,false
Cát Điền,Vàng,Áo dài Mãn Kim,"Áo dài Mãn Kim thuộc bộ sưu tập Cát Điền, nổi bật với gam vàng ấm cùng phom suông tay loe dài, gợi vẻ rực rỡ, sang trọng và có điểm nhấn ánh sắc.",Tơ tằm 70%,Suông tay loe dài,"Tơ tằm 70% có độ mềm mịn, nhẹ và ánh bóng tự nhiên, giúp trang phục lên dáng sang trọng nhưng vẫn tạo cảm giác thoải mái. Phần tay loe tạo độ mềm và giúp chuyển động của trang phục thêm uyển chuyển.","Thích hợp khi tham dự sự kiện, chụp lookbook, đi lễ đầu năm hoặc các buổi tiệc cần phong thái thanh lịch và duyên dáng.",ACTIVE,false
Cát Điền,Hồng,Áo dài Mãn Như,"Lấy cảm hứng từ tinh thần Cát Điền, Áo dài Mãn Như mang sắc hồng dịu, phom suông tay loe dài và nét đẹp nhẹ nhàng, trang nhã và có nét cuốn hút riêng.",Tơ tằm 70%,Suông tay loe dài,"Thành phần tơ tằm cao mang lại bề mặt vải mượt, độ rũ đẹp và vẻ óng nhẹ đặc trưng của dòng sản phẩm cao cấp. Phần tay loe tạo độ mềm và giúp chuyển động của trang phục thêm uyển chuyển.","Phù hợp cho dịp lễ, Tết, chụp ảnh nghệ thuật, sự kiện văn hóa hoặc những buổi gặp gỡ cần vẻ ngoài trang trọng.",ACTIVE,false
Cát Điền,Hồng cam,Áo dài Mãn Đào,"Áo dài Mãn Đào thuộc bộ sưu tập Cát Điền, nổi bật với sắc hồng cam tươi tắn cùng phom suông tay loe dài, gợi vẻ tươi tắn, duyên dáng và nổi bật vừa đủ.",Tơ tằm 70%,Suông tay loe dài,"Thành phần tơ tằm cao mang lại bề mặt vải mượt, độ rũ đẹp và vẻ óng nhẹ đặc trưng của dòng sản phẩm cao cấp. Phần tay loe tạo độ mềm và giúp chuyển động của trang phục thêm uyển chuyển.","Thích hợp khi tham dự sự kiện, chụp lookbook, đi lễ đầu năm hoặc các buổi tiệc cần phong thái thanh lịch và duyên dáng.",ACTIVE,false
Cát Điền,Xanh lục,Áo dài Thư Bảo,"Lấy cảm hứng từ tinh thần Cát Điền, Áo dài Thư Bảo mang gam xanh lục thanh mát, phom suông tay ôm dài và nét đẹp quý phái và được chăm chút trong từng chi tiết.",Tơ tằm 70%,Suông tay ôm dài,"Thành phần tơ tằm cao mang lại bề mặt vải mượt, độ rũ đẹp và vẻ óng nhẹ đặc trưng của dòng sản phẩm cao cấp.","Thích hợp khi tham dự sự kiện, chụp lookbook, đi lễ đầu năm hoặc các buổi tiệc cần phong thái thanh lịch và duyên dáng.",ACTIVE,false
Cát Điền,Hồng phấn,Áo dài Tiêu Hồng,"Áo dài Tiêu Hồng thuộc bộ sưu tập Cát Điền, nổi bật với gam hồng phấn nhẹ nhàng cùng phom suông tay loe dài, gợi vẻ ngọt ngào, mềm mại và đầy sức sống.",Tơ tằm 70%,Suông tay loe dài,"Chất liệu tơ tằm mềm, thoáng và rũ nhẹ theo dáng người, giúp tổng thể trang phục thanh thoát hơn khi mặc. Phần tay loe tạo độ mềm và giúp chuyển động của trang phục thêm uyển chuyển.","Phù hợp cho dịp lễ, Tết, chụp ảnh nghệ thuật, sự kiện văn hóa hoặc những buổi gặp gỡ cần vẻ ngoài trang trọng.",ACTIVE,false
Cát Điền,Đỏ,Áo dài Tú Điệp,"Lấy cảm hứng từ tinh thần Cát Điền, Áo dài Tú Điệp mang sắc đỏ nổi bật, phom suông tay loe dài và nét đẹp mềm mại, thanh thoát và giàu chất thơ.",Tơ tằm 70%,Suông tay loe dài,"Tơ tằm 70% có độ mềm mịn, nhẹ và ánh bóng tự nhiên, giúp trang phục lên dáng sang trọng nhưng vẫn tạo cảm giác thoải mái. Phần tay loe tạo độ mềm và giúp chuyển động của trang phục thêm uyển chuyển.","Thích hợp khi tham dự sự kiện, chụp lookbook, đi lễ đầu năm hoặc các buổi tiệc cần phong thái thanh lịch và duyên dáng.",ACTIVE,false
